scale,window_mode,interval_lo,interval_hi,p,w,q,gap_size,winner_offset,q_offset,winner_d,S_plus_w,square_threat_distance,margin,closure_utilization,log_score_w
1000000,exact,2,1000001,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
100000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
1000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
10000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
100000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
1000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
10000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
100000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
1000000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
10000000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
100000000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
1000000000000000000,even,2,2000002,196201,196202,196247,46,1,46,4,196249,47,2,0.9574468085106383,-12.186900019741364
1000000,exact,2,1000001,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
100000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
1000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
10000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
100000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
1000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
10000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
100000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
1000000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
10000000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
100000000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
1000000000000000000,even,2,2000002,323717,323719,323759,42,2,42,4,323761,42,2,0.9523809523809523,-12.68763113451553
100000000,even,98000002,100000002,98148607,98148611,98148647,40,4,40,4,98148649,38,2,0.9473684210526315,-18.40199332677815
100000000,even,98000002,100000002,98982557,98982563,98982599,42,6,42,4,98982601,38,2,0.9473684210526315,-18.41045426127279
100000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
1000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
10000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
100000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
1000000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
10000000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
100000000000000,even,2,2000002,1682179,1682182,1682207,28,3,28,4,1682209,27,2,0.9259259259259259,-14.335602318179774
