surface,window_start,window_width,branch,tested_count,max_peak_offset,normalized_peak,normalization,argmax_anchor,argmax_first_open_offset,argmax_gap_boundary_offset,argmax_cutoff,argmax_cutoff_utilization
right_prime,1000000,20000,3,1,24,0.12541600588963034,peak/log(q)^2,1018057,4,34,96,0.25
right_prime,1000000,20000,4,1067,14,1.0130766189411704,peak/log(q),1003787,2,30,96,0.14583333333333334
right_prime,1000000,20000,6,51,8,0.5789609860514021,peak/log(q),1002349,4,10,96,0.08333333333333333
right_prime,10000000,20000,3,1,12,0.04618800852682765,peak/log(q)^2,10004557,4,16,130,0.09230769230769231
right_prime,10000000,20000,4,941,18,1.116727640410116,peak/log(q),10004273,6,24,130,0.13846153846153847
right_prime,10000000,20000,6,40,21,1.3027808360530602,peak/log(q),10012703,6,24,130,0.16153846153846155
right_prime,100000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,100000000,20000,4,804,18,0.9771616724123913,peak/log(q),100001719,4,42,170,0.10588235294117647
right_prime,100000000,20000,6,38,11,0.5971536441424091,peak/log(q),100003913,6,14,170,0.06470588235294118
right_prime,1000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,1000000000,20000,4,744,24,1.1581179604794343,peak/log(q),1000011773,6,26,215,0.11162790697674418
right_prime,1000000000,20000,6,19,8,0.38603950849069635,peak/log(q),1000001663,6,14,215,0.037209302325581395
right_prime,10000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,10000000000,20000,4,687,30,1.3028833884642508,peak/log(q),10000010117,2,32,266,0.11278195488721804
right_prime,10000000000,20000,6,23,14,0.6080122245968748,peak/log(q),10000018961,2,18,266,0.05263157894736842
right_prime,100000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,100000000000,20000,4,623,30,1.1844394959674378,peak/log(q),100000000283,6,36,321,0.09345794392523364
right_prime,100000000000,20000,6,12,11,0.4342944818907349,peak/log(q),100000000073,6,18,321,0.03426791277258567
right_prime,1000000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,1000000000000,20000,4,560,50,1.809560340968778,peak/log(q),1000000004501,2,80,382,0.13089005235602094
right_prime,1000000000000,20000,6,12,16,0.5790593088293547,peak/log(q),1000000017893,6,18,382,0.041884816753926704
right_prime,10000000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,10000000000000,20000,4,520,34,1.1358471064718805,peak/log(q),10000000011679,4,54,449,0.0757238307349666
right_prime,10000000000000,20000,6,10,19,0.6347380888977412,peak/log(q),10000000017817,4,24,449,0.042316258351893093
right_prime,100000000000000,20000,3,0,0,0.0,peak/log(q)^2,,,,,
right_prime,100000000000000,20000,4,466,36,1.1167572391774288,peak/log(q),100000000006817,2,56,520,0.06923076923076923
right_prime,100000000000000,20000,6,4,10,0.31021034421575877,peak/log(q),100000000008829,4,18,520,0.019230769230769232
square_prime,100,20000,3,2246,98,0.35769324383726364,peak/log(q)^2,15436943,6,98,137,0.7153284671532847
square_prime,1000,20000,3,2192,98,0.35769324383726364,peak/log(q)^2,15436943,6,98,137,0.7153284671532847
square_prime,10000,20000,3,2016,90,0.25284852138406533,peak/log(q)^2,156174919,4,90,178,0.5056179775280899
square_prime,100000,20000,3,1709,168,0.3087614169526366,peak/log(q)^2,13502672233,4,168,273,0.6153846153846154
square_prime,1000000,20000,3,1472,174,0.22732219289839975,peak/log(q)^2,1036081729987,4,174,383,0.45430809399477806
square_prime,10000000,20000,3,1242,168,0.16165854712876238,peak/log(q)^2,100085998481233,4,168,520,0.3230769230769231
