current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,divisor_ladder
11,13,2,2,6,1,44,0.022727272727272728,2,6
13,17,4,4,4,1,60,0.016666666666666666,4,4
19,23,4,4,4,2,60,0.03333333333333333,4,6 4
23,29,6,6,3,2,60,0.03333333333333333,6,8 3
29,31,2,2,8,1,44,0.022727272727272728,2,8
31,37,6,6,4,2,60,0.03333333333333333,6,6 4
43,47,4,4,4,3,60,0.05,4,6 6 4
47,53,6,2,3,2,44,0.045454545454545456,6,10 3
59,61,2,2,12,1,44,0.022727272727272728,2,12
89,97,8,2,4,2,44,0.045454545454545456,8,12 4
97,101,4,4,6,1,60,0.016666666666666666,4,6
113,127,14,6,3,8,60,0.13333333333333333,14,8 4 6 6 4 4 16 3
151,157,6,6,4,4,60,0.06666666666666667,6,8 6 8 4
179,181,2,2,18,1,44,0.022727272727272728,2,18
191,193,2,2,14,1,44,0.022727272727272728,2,14
229,233,4,4,8,1,60,0.016666666666666666,4,8
239,241,2,2,20,1,44,0.022727272727272728,2,20
241,251,10,6,4,6,60,0.1,10,6 6 6 6 8 4
269,271,2,2,16,1,44,0.022727272727272728,2,16
283,293,10,4,3,6,60,0.1,10,6 8 8 4 18 3
349,353,4,4,8,2,60,0.03333333333333333,4,12 8
367,373,6,4,4,4,60,0.06666666666666667,6,10 6 8 4
419,421,2,2,24,1,44,0.022727272727272728,2,24
439,443,4,4,8,3,60,0.05,4,16 9 8
601,607,6,6,6,2,60,0.03333333333333333,6,8 6
929,937,8,2,4,4,44,0.09090909090909091,8,16 6 6 4
1103,1109,6,6,6,5,60,0.08333333333333333,6,20 8 8 8 6
1181,1187,6,2,4,5,44,0.11363636363636363,6,8 6 12 8 4
1307,1319,12,2,4,6,44,0.13636363636363635,12,12 8 8 8 12 4
1319,1321,2,2,32,1,44,0.022727272727272728,2,32
1489,1493,4,4,6,3,60,0.05,4,8 8 6
1619,1621,2,2,30,1,44,0.022727272727272728,2,30
1663,1667,4,4,12,2,60,0.03333333333333333,4,16 12
1669,1693,24,4,3,12,60,0.2,24,8 4 16 4 16 6 6 8 4 4 40 3
2053,2063,10,4,4,6,60,0.1,10,8 8 8 6 16 4
2111,2113,2,2,28,1,44,0.022727272727272728,2,28
2131,2137,6,6,8,2,60,0.03333333333333333,6,12 8
2339,2341,2,2,36,1,44,0.022727272727272728,2,36
3119,3121,2,2,40,1,44,0.022727272727272728,2,40
3359,3361,2,2,48,1,44,0.022727272727272728,2,48
3769,3779,10,4,4,8,60,0.13333333333333333,10,16 6 12 8 16 6 14 4
3911,3917,6,2,8,2,44,0.045454545454545456,6,16 8
4799,4801,2,2,42,1,44,0.022727272727272728,2,42
4919,4931,12,2,4,8,44,0.18181818181818182,12,32 8 8 6 6 6 8 4
