scale,chain_limit,stop_rule,source,shadow_count,true_in_chain_count,max_true_chain_position,top1_correct,top1_recall,audit_failed_after_stop_rule,miss_true_not_in_chain,miss_wrong_chain_node_selected
ALL,4,stop_rule_1_first_chain_node,PGS_probe,388,365,4,205,0.5283505154639175,183,23,160
ALL,4,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,388,365,4,164,0.422680412371134,224,23,201
ALL,4,stop_rule_3_low_exact_boundary_delta,PGS_probe,388,365,4,205,0.5283505154639175,183,23,160
ALL,4,stop_rule_4_post_visible_open_density_drop,PGS_probe,388,365,4,142,0.36597938144329895,246,23,223
ALL,4,stop_rule_5_next_chain_node_outside_R64,PGS_probe,388,365,4,55,0.14175257731958762,333,23,310
ALL,4,stop_rule_6_best_ranker_b,PGS_probe,388,365,4,205,0.5283505154639175,183,23,160
ALL,4,stop_rule_7_best_ranker_c,PGS_probe,388,365,4,78,0.20103092783505155,310,23,287
ALL,4,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,388,365,4,365,0.9407216494845361,23,23,0
ALL,4,chain_fallback_exact_first_prime_in_chain,chain_fallback,388,365,4,365,0.9407216494845361,23,23,0
ALL,6,stop_rule_1_first_chain_node,PGS_probe,388,380,6,205,0.5283505154639175,183,8,175
ALL,6,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,388,380,6,149,0.38402061855670105,239,8,231
ALL,6,stop_rule_3_low_exact_boundary_delta,PGS_probe,388,380,6,205,0.5283505154639175,183,8,175
ALL,6,stop_rule_4_post_visible_open_density_drop,PGS_probe,388,380,6,133,0.3427835051546392,255,8,247
ALL,6,stop_rule_5_next_chain_node_outside_R64,PGS_probe,388,380,6,49,0.12628865979381443,339,8,331
ALL,6,stop_rule_6_best_ranker_b,PGS_probe,388,380,6,205,0.5283505154639175,183,8,175
ALL,6,stop_rule_7_best_ranker_c,PGS_probe,388,380,6,42,0.10824742268041238,346,8,338
ALL,6,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,388,380,6,380,0.979381443298969,8,8,0
ALL,6,chain_fallback_exact_first_prime_in_chain,chain_fallback,388,380,6,380,0.979381443298969,8,8,0
ALL,8,stop_rule_1_first_chain_node,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,8,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,388,388,8,146,0.37628865979381443,242,0,242
ALL,8,stop_rule_3_low_exact_boundary_delta,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,8,stop_rule_4_post_visible_open_density_drop,PGS_probe,388,388,8,137,0.35309278350515466,251,0,251
ALL,8,stop_rule_5_next_chain_node_outside_R64,PGS_probe,388,388,8,50,0.12886597938144329,338,0,338
ALL,8,stop_rule_6_best_ranker_b,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,8,stop_rule_7_best_ranker_c,PGS_probe,388,388,8,34,0.08762886597938144,354,0,354
ALL,8,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,388,388,8,388,1.0,0,0,0
ALL,8,chain_fallback_exact_first_prime_in_chain,chain_fallback,388,388,8,388,1.0,0,0,0
ALL,10,stop_rule_1_first_chain_node,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,10,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,388,388,8,145,0.37371134020618557,243,0,243
ALL,10,stop_rule_3_low_exact_boundary_delta,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,10,stop_rule_4_post_visible_open_density_drop,PGS_probe,388,388,8,135,0.3479381443298969,253,0,253
ALL,10,stop_rule_5_next_chain_node_outside_R64,PGS_probe,388,388,8,50,0.12886597938144329,338,0,338
ALL,10,stop_rule_6_best_ranker_b,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,10,stop_rule_7_best_ranker_c,PGS_probe,388,388,8,34,0.08762886597938144,354,0,354
ALL,10,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,388,388,8,388,1.0,0,0,0
ALL,10,chain_fallback_exact_first_prime_in_chain,chain_fallback,388,388,8,388,1.0,0,0,0
ALL,12,stop_rule_1_first_chain_node,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,12,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,388,388,8,145,0.37371134020618557,243,0,243
ALL,12,stop_rule_3_low_exact_boundary_delta,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,12,stop_rule_4_post_visible_open_density_drop,PGS_probe,388,388,8,134,0.34536082474226804,254,0,254
ALL,12,stop_rule_5_next_chain_node_outside_R64,PGS_probe,388,388,8,50,0.12886597938144329,338,0,338
ALL,12,stop_rule_6_best_ranker_b,PGS_probe,388,388,8,205,0.5283505154639175,183,0,183
ALL,12,stop_rule_7_best_ranker_c,PGS_probe,388,388,8,33,0.08505154639175258,355,0,355
ALL,12,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,388,388,8,388,1.0,0,0,0
ALL,12,chain_fallback_exact_first_prime_in_chain,chain_fallback,388,388,8,388,1.0,0,0,0
