scale,anchor_p,seed_q0,recovered_q_for_audit_only,candidate_n,candidate_index_from_seed,is_recovered_q_for_audit_only,candidate_offset_from_anchor,candidate_offset_from_seed,delta_prev_candidate,delta_next_candidate,candidate_mod_30,candidate_mod_210,offset_mod_30,offset_mod_210,wheel_open,visible_closure_reason,visible_divisor_witness_under_10000,pgs_chamber_closed_before_candidate,visible_open_count_between_seed_and_candidate,visible_closed_count_between_seed_and_candidate,carrier_w,carrier_d,carrier_to_candidate_delta,chain_node_index_if_visible_open,chain_position_relative_to_seed,local_gap_signature,prefix_signature_from_seed,matches_low_residue_signature,matches_low_delta_signature,matches_low_prefix_signature
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000004,1,False,15,1,0,1,14,164,15,15,False,wheel_closed_residue:14,2,True,0,0,1000000000000003,4,1,,1,14:164:15:15:0:0:0:1,C,False,False,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000005,2,False,16,2,1,1,15,165,16,16,False,wheel_closed_residue:15,3,True,0,1,1000000000000003,4,2,,2,15:165:16:16:0:1:1:1,C.C,False,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000006,3,False,17,3,1,1,16,166,17,17,False,wheel_closed_residue:16,2,True,0,2,1000000000000003,4,3,,3,16:166:17:17:0:2:1:1,C.C.C,False,False,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000007,4,False,18,4,1,1,17,167,18,18,True,divisor_witness:47,47,True,0,3,1000000000000003,4,4,,4,17:167:18:18:0:3:1:1,C.C.C.C,True,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000008,5,False,19,5,1,1,18,168,19,19,False,wheel_closed_residue:18,2,True,0,4,1000000000000003,4,5,,5,18:168:19:19:0:4:1:1,C.C.C.C.C,False,False,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000009,6,False,20,6,1,1,19,169,20,20,True,divisor_witness:179,179,True,0,5,1000000000000003,4,6,,6,19:169:20:20:0:5:1:1,C.C.C.C.C.C,True,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000010,7,False,21,7,1,1,20,170,21,21,False,wheel_closed_residue:20,2,True,0,6,1000000000000003,4,7,,7,20:170:21:21:0:6:1:1,C.C.C.C.C.C.C,False,False,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000011,8,False,22,8,1,1,21,171,22,22,False,wheel_closed_residue:21,3,True,0,7,1000000000000003,4,8,,8,21:171:22:22:0:7:1:1,C.C.C.C.C.C.C.C,False,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000012,9,False,23,9,1,1,22,172,23,23,False,wheel_closed_residue:22,2,True,0,8,1000000000000003,4,9,,9,22:172:23:23:0:8:1:1,C.C.C.C.C.C.C.C.C,False,False,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,1000000000000013,10,False,24,10,1,1,23,173,24,24,True,divisor_witness:1091,1091,True,0,9,1000000000000003,4,10,,10,23:173:24:24:0:9:1:1,C.C.C.C.C.C.C.C.C.C,True,True,False
