scale,selector,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selector_status,failure_mode
1000000000000,milestone1_boundary_without_offset,999999999989,1000000000007,1000000000039,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999989,1000000000007,1000000000039,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999961,999999999967,999999999989,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999961,999999999967,999999999989,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999863,999999999871,999999999877,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999863,999999999871,999999999877,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999767,999999999781,999999999847,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999767,999999999781,999999999847,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999707,999999999743,999999999767,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999707,999999999743,999999999767,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999617,999999999641,999999999673,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999617,999999999641,999999999673,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999577,999999999587,999999999589,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999577,999999999587,999999999589,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999529,999999999541,999999999571,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999529,999999999541,999999999571,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999391,999999999419,999999999457,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999391,999999999419,999999999457,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999331,999999999337,999999999359,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999331,999999999337,999999999359,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999287,999999999289,999999999293,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999287,999999999289,999999999293,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999161,999999999209,999999999247,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999161,999999999209,999999999247,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999999143,999999999151,999999999161,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999999143,999999999151,999999999161,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998867,999999998869,999999998939,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998867,999999998869,999999998939,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998801,999999998813,999999998821,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998801,999999998813,999999998821,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998611,999999998623,999999998713,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998611,999999998623,999999998713,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998533,999999998537,999999998567,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998533,999999998537,999999998567,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998513,999999998521,999999998527,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998513,999999998521,999999998527,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998461,999999998479,999999998497,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998461,999999998479,999999998497,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998401,999999998411,999999998429,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998401,999999998411,999999998429,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998311,999999998381,999999998399,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998311,999999998381,999999998399,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998237,999999998243,999999998281,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998237,999999998243,999999998281,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998227,999999998233,999999998237,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998227,999999998233,999999998237,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998203,999999998209,999999998227,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998203,999999998209,999999998227,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998183,999999998189,999999998191,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998183,999999998189,999999998191,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998069,999999998089,999999998141,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998069,999999998089,999999998141,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999998021,999999998027,999999998047,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999998021,999999998027,999999998047,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997939,999999997949,999999998021,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997939,999999997949,999999998021,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997831,999999997849,999999997907,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997831,999999997849,999999997907,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997679,999999997699,999999997721,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997679,999999997699,999999997721,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997589,999999997597,999999997603,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997589,999999997597,999999997603,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997517,999999997553,999999997589,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997517,999999997553,999999997589,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997459,999999997463,999999997517,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997459,999999997463,999999997517,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997433,999999997439,999999997459,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997433,999999997439,999999997459,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997397,999999997429,999999997433,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997397,999999997429,999999997433,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997391,999999997393,999999997397,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997391,999999997393,999999997397,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997343,999999997351,999999997391,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997343,999999997351,999999997391,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997277,999999997307,999999997327,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997277,999999997307,999999997327,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997201,999999997223,999999997259,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999997201,999999997223,999999997259,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999997163,999999997189,999999997201,,InsufficientBoundarySelectorStateError,no_selection
