scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999999989,1000000000007,1000000000039,32,1,18,128,10000,,29,179,2069,17,197,2087,5,32.54.56.84.86,32.54,32.54.56,32.54.56.84,32.54.56.84.86,22.2.28,22.2.28.2,22.2.28.2,1999994,5,True
1000000000000,999999999961,999999999967,999999999989,22,1,6,128,10000,,1,151,2041,7,157,2047,5,22.40.72.94.96,22.40,22.40.72,22.40.72.94,22.40.72.94.96,18.32.22,18.32.22.2,18.32.22.2,2000034,5,True
1000000000000,999999999863,999999999871,999999999877,6,1,8,128,10000,,23,53,1943,1,61,1951,7,6.28.66.88.90.96.118,6.28,6.28.66,6.28.66.88,6.28.66.88.90.96.118,22.38.22,22.38.22.2,22.38.22.2.6.22,2000130,7,True
1000000000000,999999999767,999999999781,999999999847,66,7,14,128,10000,,17,167,1847,1,181,1861,11,6.12.28.30.48.58.66.76.82.90.96,6.12,6.12.28,6.12.28.30,6.12.28.30.48.58.66.76,6.16.2,6.16.2.18,6.16.2.18.10.8.10.6,2000220,11,True
1000000000000,999999999707,999999999743,999999999767,24,2,36,128,10000,,17,107,1787,23,143,1823,8,8.24.38.44.50.66.68.86,8.24,8.24.38,8.24.38.44,8.24.38.44.50.66.68.86,16.14.6,16.14.6.6,16.14.6.6.16.2.18,2000258,8,True
1000000000000,999999999617,999999999641,999999999673,32,3,24,128,10000,,17,17,1697,11,41,1721,6,26.30.32.56.66.102,26.30,26.30.32,26.30.32.56,26.30.32.56.66.102,4.2.24,4.2.24.10,4.2.24.10.36,2000360,6,True
1000000000000,999999999577,999999999587,999999999589,2,1,10,128,10000,,7,187,1657,17,197,1667,9,2.12.24.30.54.80.84.86.110,2.12,2.12.24,2.12.24.30,2.12.24.30.54.80.84.86,10.12.6,10.12.6.24,10.12.6.24.26.4.2.24,2000414,9,True
1000000000000,999999999529,999999999541,999999999571,30,2,12,128,10000,,19,139,1609,1,151,1621,9,6.30.36.46.48.58.70.76.100,6.30,6.30.36,6.30.36.46,6.30.36.46.48.58.70.76,24.6.10,24.6.10.2,24.6.10.2.10.12.6.24,2000460,9,True
1000000000000,999999999391,999999999419,999999999457,38,1,28,128,10000,,1,1,1471,29,29,1499,3,38.78.98,38.78,38.78.98,38.78.98,38.78.98,40.20,40.20,40.20,2000582,3,True
1000000000000,999999999331,999999999337,999999999359,22,1,6,128,10000,,1,151,1411,7,157,1417,4,22.54.82.120,22.54,22.54.82,22.54.82.120,22.54.82.120,32.28.38,32.28.38,32.28.38,2000664,4,True
1000000000000,999999999287,999999999289,999999999293,4,1,2,128,10000,,17,107,1367,19,109,1369,6,4.12.42.48.70.102,4.12,4.12.42,4.12.42.48,4.12.42.48.70.102,8.30.6,8.30.6.22,8.30.6.22.32,2000712,6,True
1000000000000,999999999161,999999999209,999999999247,38,2,48,128,10000,,11,191,1241,29,29,1289,7,14.38.44.60.68.78.80,14.38,14.38.44,14.38.44.60,14.38.44.60.68.78.80,24.6.16,24.6.16.8,24.6.16.8.10.2,2000792,7,True
1000000000000,999999999143,999999999151,999999999161,10,1,8,128,10000,,23,173,1223,1,181,1231,6,10.58.72.96.102.118,10.58,10.58.72,10.58.72.96,10.58.72.96.102.118,48.14.24,48.14.24.6,48.14.24.6.16,2000850,6,True
1000000000000,999999998867,999999998869,999999998939,70,2,2,128,10000,,17,107,947,19,109,949,5,28.70.72.82.124,28.70,28.70.72,28.70.72.82,28.70.72.82.124,42.2.10,42.2.10.42,42.2.10.42,2001132,5,True
1000000000000,999999998801,999999998813,999999998821,8,1,12,128,10000,,11,41,881,23,53,893,5,8.50.54.56.84,8.50,8.50.54,8.50.54.56,8.50.54.56.84,42.4.2,42.4.2.28,42.4.2.28,2001188,5,True
1000000000000,999999998611,999999998623,999999998713,90,4,12,128,10000,,1,61,691,13,73,703,6,16.54.58.90.96.114,16.54,16.54.58,16.54.58.90,16.54.58.90.96.114,38.4.32,38.4.32.6,38.4.32.6.18,2001378,6,True
1000000000000,999999998533,999999998537,999999998567,30,3,4,128,10000,,13,193,613,17,197,617,7,14.26.30.44.74.86.102,14.26,14.26.30,14.26.30.44,14.26.30.44.74.86.102,12.4.14,12.4.14.30,12.4.14.30.12.16,2001464,7,True
1000000000000,999999998513,999999998521,999999998527,6,1,8,128,10000,,23,173,593,1,181,601,11,6.10.12.16.30.42.46.60.90.102.118,6.10,6.10.12,6.10.12.16,6.10.12.16.30.42.46.60,4.2.4,4.2.4.14,4.2.4.14.12.4.14.30,2001480,11,True
1000000000000,999999998461,999999998479,999999998497,18,1,18,128,10000,,1,121,541,19,139,559,12,18.30.34.42.48.52.54.58.72.84.88.102,18.30,18.30.34,18.30.34.42,18.30.34.42.48.52.54.58,12.4.8,12.4.8.6,12.4.8.6.4.2.4.14,2001522,12,True
1000000000000,999999998401,999999998411,999999998429,18,2,10,128,10000,,1,61,481,11,71,491,11,8.18.30.38.50.68.86.98.102.110.116,8.18,8.18.30,8.18.30.38,8.18.30.38.50.68.86.98,10.12.8,10.12.8.12,10.12.8.12.18.18.12.4,2001590,11,True
1000000000000,999999998311,999999998381,999999998399,18,1,70,128,10000,,1,181,391,11,41,461,5,18.20.30.38.48,18.20,18.20.30,18.20.30.38,18.20.30.38.48,2.10.8,2.10.8.10,2.10.8.10,2001620,5,True
1000000000000,999999998237,999999998243,999999998281,38,2,6,128,10000,,17,107,317,23,113,323,3,36.38.68,36.38,36.38.68,36.38.68,36.38.68,2.30,2.30,2.30,2001758,3,True
1000000000000,999999998227,999999998233,999999998237,4,1,6,128,10000,,7,97,307,13,103,313,5,4.10.46.48.78,4.10,4.10.46,4.10.46.48,4.10.46.48.78,6.36.2,6.36.2.30,6.36.2.30,2001768,5,True
1000000000000,999999998203,999999998209,999999998227,18,1,6,128,10000,,13,73,283,19,79,289,7,18.24.28.34.70.72.102,18.24,18.24.28,18.24.28.34,18.24.28.34.70.72.102,6.4.6,6.4.6.36,6.4.6.36.2.30,2001792,7,True
