scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000,K_seed_mods,999999999989,1000000000007,1000000000039,,no_selection
1000000000000,K_seed_mods,999999999961,999999999967,999999999989,999999999989,correct
1000000000000,K_seed_mods,999999999863,999999999871,999999999877,,no_selection
1000000000000,K_seed_mods,999999999767,999999999781,999999999847,999999999829,selected_too_early
1000000000000,K_seed_mods,999999999707,999999999743,999999999767,999999999767,correct
1000000000000,K_seed_mods,999999999617,999999999641,999999999673,,no_selection
1000000000000,K_seed_mods,999999999577,999999999587,999999999589,,no_selection
1000000000000,K_seed_mods,999999999529,999999999541,999999999571,,no_selection
1000000000000,K_seed_mods,999999999391,999999999419,999999999457,,no_selection
1000000000000,K_seed_mods,999999999331,999999999337,999999999359,999999999359,correct
1000000000000,K_seed_mods,999999999287,999999999289,999999999293,,no_selection
1000000000000,K_seed_mods,999999999161,999999999209,999999999247,,no_selection
1000000000000,K_seed_mods,999999999143,999999999151,999999999161,,no_selection
1000000000000,K_seed_mods,999999998867,999999998869,999999998939,,no_selection
1000000000000,K_seed_mods,999999998801,999999998813,999999998821,999999998827,selected_too_late
1000000000000,K_seed_mods,999999998611,999999998623,999999998713,,no_selection
1000000000000,K_seed_mods,999999998533,999999998537,999999998567,,no_selection
1000000000000,K_seed_mods,999999998513,999999998521,999999998527,,no_selection
1000000000000,K_seed_mods,999999998461,999999998479,999999998497,,no_selection
1000000000000,K_seed_mods,999999998401,999999998411,999999998429,999999998429,correct
1000000000000,K_seed_mods,999999998311,999999998381,999999998399,,no_selection
1000000000000,K_seed_mods,999999998237,999999998243,999999998281,999999998297,selected_too_late
1000000000000,K_seed_mods,999999998227,999999998233,999999998237,999999998273,selected_too_late
1000000000000,K_seed_mods,999999998203,999999998209,999999998227,999999998303,selected_too_late
1000000000000,K_seed_mods,999999998183,999999998189,999999998191,,no_selection
1000000000000,K_seed_mods,999999998069,999999998089,999999998141,,no_selection
1000000000000,K_seed_mods,999999998021,999999998027,999999998047,,no_selection
1000000000000,K_seed_mods,999999997939,999999997949,999999998021,,no_selection
1000000000000,K_seed_mods,999999997831,999999997849,999999997907,,no_selection
1000000000000,K_seed_mods,999999997679,999999997699,999999997721,999999997721,correct
1000000000000,K_seed_mods,999999997589,999999997597,999999997603,,no_selection
1000000000000,K_seed_mods,999999997517,999999997553,999999997589,,no_selection
1000000000000,K_seed_mods,999999997459,999999997463,999999997517,999999997487,selected_too_early
1000000000000,K_seed_mods,999999997433,999999997439,999999997459,,no_selection
1000000000000,K_seed_mods,999999997397,999999997429,999999997433,,no_selection
1000000000000,K_seed_mods,999999997391,999999997393,999999997397,999999997477,selected_too_late
1000000000000,K_seed_mods,999999997343,999999997351,999999997391,,no_selection
1000000000000,K_seed_mods,999999997277,999999997307,999999997327,,no_selection
1000000000000,K_seed_mods,999999997201,999999997223,999999997259,,no_selection
1000000000000,K_seed_mods,999999997163,999999997189,999999997201,999999997261,selected_too_late
1000000000000,K_seed_mods,999999997147,999999997151,999999997163,,no_selection
1000000000000,K_seed_mods,999999997103,999999997121,999999997147,,no_selection
1000000000000,K_seed_mods,999999997013,999999997093,999999997103,,no_selection
1000000000000,K_seed_mods,999999996901,999999996949,999999996977,,no_selection
1000000000000,K_seed_mods,999999996881,999999996887,999999996889,,no_selection
1000000000000,K_seed_mods,999999996823,999999996833,999999996881,,no_selection
1000000000000,K_seed_mods,999999996701,999999996727,999999996739,,no_selection
1000000000000,K_seed_mods,999999996581,999999996599,999999996601,,no_selection
1000000000000,K_seed_mods,999999996473,999999996511,999999996581,,no_selection
1000000000000,K_seed_mods,999999996371,999999996419,999999996449,,no_selection
1000000000000,K_seed_mods,999999996211,999999996217,999999996223,999999996287,selected_too_late
1000000000000,K_seed_mods,999999996137,999999996173,999999996197,999999996197,correct
1000000000000,K_seed_mods,999999996097,999999996133,999999996137,,no_selection
1000000000000,K_seed_mods,999999995993,999999996011,999999996097,,no_selection
1000000000000,K_seed_mods,999999995899,999999995909,999999995933,,no_selection
1000000000000,K_seed_mods,999999995773,999999995837,999999995857,,no_selection
1000000000000,K_seed_mods,999999995653,999999995681,999999995711,999999995683,selected_too_early
1000000000000,K_seed_mods,999999995581,999999995591,999999995653,999999995623,selected_too_early
1000000000000,K_seed_mods,999999995537,999999995539,999999995573,999999995569,selected_too_early
1000000000000,K_seed_mods,999999995497,999999995521,999999995537,999999995537,correct
1000000000000,K_seed_mods,999999995429,999999995441,999999995461,,no_selection
1000000000000,K_seed_mods,999999995383,999999995389,999999995413,,no_selection
1000000000000,K_seed_mods,999999995237,999999995257,999999995299,,no_selection
1000000000000,K_seed_mods,999999995207,999999995233,999999995237,,no_selection
1000000000000,K_seed_mods,999999995177,999999995201,999999995207,,no_selection
1000000000000,K_seed_mods,999999995147,999999995149,999999995177,999999995179,selected_too_late
1000000000000,K_seed_mods,999999995131,999999995143,999999995147,,no_selection
1000000000000,K_seed_mods,999999994909,999999994919,999999994937,,no_selection
1000000000000,K_seed_mods,999999994897,999999994907,999999994909,999999994913,selected_too_late
1000000000000,K_seed_mods,999999994823,999999994871,999999994897,,no_selection
1000000000000,K_seed_mods,999999994781,999999994783,999999994793,,no_selection
1000000000000,K_seed_mods,999999994769,999999994771,999999994781,,no_selection
1000000000000,K_seed_mods,999999994729,999999994753,999999994769,,no_selection
1000000000000,K_seed_mods,999999994687,999999994723,999999994729,,no_selection
1000000000000,K_seed_mods,999999994639,999999994661,999999994687,,no_selection
1000000000000,K_seed_mods,999999994583,999999994601,999999994603,,no_selection
1000000000000,K_seed_mods,999999994517,999999994531,999999994579,999999994597,selected_too_late
1000000000000,K_seed_mods,999999994471,999999994481,999999994493,999999994493,correct
1000000000000,K_seed_mods,999999994457,999999994459,999999994463,,no_selection
1000000000000,K_seed_mods,999999994379,999999994381,999999994403,,no_selection
1000000000000,K_seed_mods,999999994361,999999994363,999999994379,,no_selection
1000000000000,K_seed_mods,999999994319,999999994339,999999994361,999999994361,correct
1000000000000,K_seed_mods,999999994127,999999994159,999999994163,,no_selection
1000000000000,K_seed_mods,999999994087,999999994111,999999994117,,no_selection
1000000000000,K_seed_mods,999999994009,999999994043,999999994087,999999994099,selected_too_late
1000000000000,K_seed_mods,999999993929,999999993953,999999994009,999999994019,selected_too_late
1000000000000,K_seed_mods,999999993871,999999993877,999999993899,999999993899,correct
1000000000000,K_seed_mods,999999993793,999999993841,999999993847,,no_selection
1000000000000,K_seed_mods,999999993749,999999993757,999999993763,,no_selection
1000000000000,K_seed_mods,999999993653,999999993689,999999993749,,no_selection
1000000000000,K_seed_mods,999999993481,999999993523,999999993557,,no_selection
1000000000000,K_seed_mods,999999993389,999999993437,999999993467,,no_selection
1000000000000,K_seed_mods,999999993361,999999993371,999999993389,999999993389,correct
1000000000000,K_seed_mods,999999993287,999999993301,999999993361,,no_selection
1000000000000,K_seed_mods,999999993259,999999993263,999999993287,,no_selection
1000000000000,K_seed_mods,999999992977,999999992987,999999993029,,no_selection
1000000000000,K_seed_mods,999999992941,999999992947,999999992977,999999992951,selected_too_early
1000000000000,K_seed_mods,999999992843,999999992911,999999992941,,no_selection
1000000000000,K_seed_mods,999999992743,999999992749,999999992843,999999992767,selected_too_early
1000000000000,K_seed_mods,999999992647,999999992653,999999992731,999999992711,selected_too_early
1000000000000,K_seed_mods,999999992539,999999992567,999999992611,,no_selection
1000000000000,K_seed_mods,999999992447,999999992461,999999992531,,no_selection
1000000000000000,K_seed_mods,999999999999989,1000000000000003,1000000000000037,1000000000000093,selected_too_late
1000000000000000,K_seed_mods,999999999999947,999999999999967,999999999999989,,no_selection
1000000000000000,K_seed_mods,999999999999883,999999999999893,999999999999947,,no_selection
1000000000000000,K_seed_mods,999999999999877,999999999999881,999999999999883,,no_selection
1000000000000000,K_seed_mods,999999999999827,999999999999839,999999999999877,,no_selection
1000000000000000,K_seed_mods,999999999999809,999999999999817,999999999999827,,no_selection
1000000000000000,K_seed_mods,999999999999577,999999999999599,999999999999643,,no_selection
1000000000000000,K_seed_mods,999999999999521,999999999999551,999999999999571,,no_selection
