scale,key_name,shadow_seed_rows,correct,no_selection,selected_too_early,selected_too_late,audit_failed_if_promoted,projected_pgs_count,projected_pgs_percent,promotion_eligible
1000000000000,K_gap_prefix_4,102,0,102,0,0,0,151,59.683794466403164,False
1000000000000,K_locked_full_visible,102,0,102,0,0,0,151,59.683794466403164,False
1000000000000,K_seed_mods,102,11,71,8,12,20,162,64.03162055335969,False
1000000000000,K_seed_mods_carrier,102,9,74,10,9,19,160,63.241106719367586,False
1000000000000,K_square_delta_bucket,102,0,102,0,0,0,151,59.683794466403164,False
1000000000000,K_square_visible_count,102,0,97,3,2,5,151,59.683794466403164,False
1000000000000,K_visible_prefix_2,102,17,72,4,9,13,168,66.40316205533597,False
1000000000000,K_visible_prefix_3,102,5,92,3,2,5,156,61.6600790513834,False
1000000000000,K_visible_prefix_4,102,1,101,0,0,0,152,60.07905138339921,False
1000000000000,K_visible_prefix_8,102,0,102,0,0,0,151,59.683794466403164,False
1000000000000000,K_gap_prefix_4,141,0,139,1,1,2,108,43.373493975903614,False
1000000000000000,K_locked_full_visible,141,0,141,0,0,0,108,43.373493975903614,False
1000000000000000,K_seed_mods,141,3,102,14,22,36,111,44.57831325301205,False
1000000000000000,K_seed_mods_carrier,141,2,98,20,21,41,110,44.17670682730924,False
1000000000000000,K_square_delta_bucket,141,0,141,0,0,0,108,43.373493975903614,False
1000000000000000,K_square_visible_count,141,0,137,1,3,4,108,43.373493975903614,False
1000000000000000,K_visible_prefix_2,141,29,91,12,9,21,137,55.02008032128514,False
1000000000000000,K_visible_prefix_3,141,2,130,3,6,9,110,44.17670682730924,False
1000000000000000,K_visible_prefix_4,141,0,141,0,0,0,108,43.373493975903614,False
1000000000000000,K_visible_prefix_8,141,0,141,0,0,0,108,43.373493975903614,False
1000000000000000000,K_gap_prefix_4,145,0,143,1,1,2,105,42.0,False
1000000000000000000,K_locked_full_visible,145,0,145,0,0,0,105,42.0,False
1000000000000000000,K_seed_mods,145,3,105,25,12,37,108,43.2,False
1000000000000000000,K_seed_mods_carrier,145,2,108,19,16,35,107,42.8,False
1000000000000000000,K_square_delta_bucket,145,0,145,0,0,0,105,42.0,False
1000000000000000000,K_square_visible_count,145,0,139,4,2,6,105,42.0,False
1000000000000000000,K_visible_prefix_2,145,13,100,19,13,32,118,47.2,False
1000000000000000000,K_visible_prefix_3,145,4,135,4,2,6,109,43.6,False
1000000000000000000,K_visible_prefix_4,145,1,142,1,1,2,106,42.4,False
1000000000000000000,K_visible_prefix_8,145,0,145,0,0,0,105,42.0,False
