scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,failure_mode,run_length,failure_reason,residue_exhausted,open_witness_count,closed_witness_count,materialized_witness_count
1000000000000000,M1_visible_run_all,999999999990443,999999999990457,999999999990461,999999999990461,0,correct,3,,True,1,1,2
1000000000000000,M2_visible_run_odd,999999999990443,999999999990457,999999999990461,999999999990461,0,correct,1,,False,1,0,2
1000000000000000,M3_witness_run_odd,999999999990443,999999999990457,999999999990461,,,no_selection,2,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M4_witness_run_odd_resclosed,999999999990443,999999999990457,999999999990461,,,no_selection,2,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M1_visible_run_all,999999999990461,999999999990463,999999999990493,999999999990493,0,correct,29,,False,8,5,9
1000000000000000,M2_visible_run_odd,999999999990461,999999999990463,999999999990493,999999999990493,0,correct,14,,False,8,3,9
1000000000000000,M3_witness_run_odd,999999999990461,999999999990463,999999999990493,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,3,9
1000000000000000,M4_witness_run_odd_resclosed,999999999990461,999999999990463,999999999990493,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,3,9
1000000000000000,M1_visible_run_all,999999999990493,999999999990503,999999999990577,999999999990521,-56,selected_too_early,17,,False,13,5,15
1000000000000000,M2_visible_run_odd,999999999990493,999999999990503,999999999990577,999999999990521,-56,selected_too_early,8,,False,13,4,15
1000000000000000,M3_witness_run_odd,999999999990493,999999999990503,999999999990577,,,no_selection,37,no_unmarked_candidate_in_materialized_stream,False,13,7,15
1000000000000000,M4_witness_run_odd_resclosed,999999999990493,999999999990503,999999999990577,,,no_selection,37,no_unmarked_candidate_in_materialized_stream,False,13,7,15
1000000000000000,M1_visible_run_all,999999999990577,999999999990599,999999999990659,999999999990619,-40,selected_too_early,19,,False,12,8,14
1000000000000000,M2_visible_run_odd,999999999990577,999999999990599,999999999990659,999999999990619,-40,selected_too_early,9,,False,12,4,14
1000000000000000,M3_witness_run_odd,999999999990577,999999999990599,999999999990659,,,no_selection,30,no_unmarked_candidate_in_materialized_stream,False,12,8,14
