scale,anchor_p,seed_q0,recovered_q_for_audit_only,candidate_n,candidate_visible_ordinal,candidate_offset_from_anchor,candidate_offset_from_seed,is_recovered_q_for_audit_only,prior_visible_open_count_including_seed,distance_open_prior_count_including_seed,distance_closed_prior_count_including_seed,seed_distance_closure_reason
1000000000000,999999999989,1000000000007,1000000000039,1000000000039,1,50,32,True,1,0,1,wheel_closed_residue:2
1000000000000,999999999989,1000000000007,1000000000039,1000000000061,2,72,54,False,2,0,2,wheel_closed_residue:24
1000000000000,999999999989,1000000000007,1000000000039,1000000000063,3,74,56,False,3,0,3,wheel_closed_residue:26
1000000000000,999999999989,1000000000007,1000000000039,1000000000091,4,102,84,False,4,0,4,wheel_closed_residue:24
1000000000000,999999999989,1000000000007,1000000000039,1000000000093,5,104,86,False,5,0,5,wheel_closed_residue:26
1000000000000,999999999961,999999999967,999999999989,999999999989,1,28,22,True,1,0,1,wheel_closed_residue:22
1000000000000,999999999961,999999999967,999999999989,1000000000007,2,46,40,False,2,0,2,wheel_closed_residue:10
1000000000000,999999999961,999999999967,999999999989,1000000000039,3,78,72,False,3,0,3,wheel_closed_residue:12
1000000000000,999999999961,999999999967,999999999989,1000000000061,4,100,94,False,4,0,4,wheel_closed_residue:4
1000000000000,999999999961,999999999967,999999999989,1000000000063,5,102,96,False,5,0,5,wheel_closed_residue:6
1000000000000,999999999863,999999999871,999999999877,999999999877,1,14,6,True,1,0,1,wheel_closed_residue:6
1000000000000,999999999863,999999999871,999999999877,999999999899,2,36,28,False,2,0,2,wheel_closed_residue:28
1000000000000,999999999863,999999999871,999999999877,999999999937,3,74,66,False,3,0,3,wheel_closed_residue:6
1000000000000,999999999863,999999999871,999999999877,999999999959,4,96,88,False,4,0,4,wheel_closed_residue:28
1000000000000,999999999863,999999999871,999999999877,999999999961,5,98,90,False,5,0,5,wheel_closed_residue:0
1000000000000,999999999863,999999999871,999999999877,999999999967,6,104,96,False,6,0,6,wheel_closed_residue:6
1000000000000,999999999863,999999999871,999999999877,999999999989,7,126,118,False,7,0,7,wheel_closed_residue:28
1000000000000,999999999767,999999999781,999999999847,999999999787,1,20,6,False,1,0,1,wheel_closed_residue:6
1000000000000,999999999767,999999999781,999999999847,999999999793,2,26,12,False,2,0,2,wheel_closed_residue:12
1000000000000,999999999767,999999999781,999999999847,999999999809,3,42,28,False,3,0,3,wheel_closed_residue:28
1000000000000,999999999767,999999999781,999999999847,999999999811,4,44,30,False,4,0,4,wheel_closed_residue:0
1000000000000,999999999767,999999999781,999999999847,999999999829,5,62,48,False,5,0,5,wheel_closed_residue:18
1000000000000,999999999767,999999999781,999999999847,999999999839,6,72,58,False,6,0,6,wheel_closed_residue:28
1000000000000,999999999767,999999999781,999999999847,999999999847,7,80,66,True,7,0,7,wheel_closed_residue:6
1000000000000,999999999767,999999999781,999999999847,999999999857,8,90,76,False,8,0,8,wheel_closed_residue:16
1000000000000,999999999767,999999999781,999999999847,999999999863,9,96,82,False,9,0,9,wheel_closed_residue:22
1000000000000,999999999767,999999999781,999999999847,999999999871,10,104,90,False,10,0,10,wheel_closed_residue:0
1000000000000,999999999767,999999999781,999999999847,999999999877,11,110,96,False,11,0,11,wheel_closed_residue:6
1000000000000,999999999707,999999999743,999999999767,999999999751,1,44,8,False,1,0,1,wheel_closed_residue:8
1000000000000,999999999707,999999999743,999999999767,999999999767,2,60,24,True,2,0,2,wheel_closed_residue:24
1000000000000,999999999707,999999999743,999999999767,999999999781,3,74,38,False,3,0,3,wheel_closed_residue:8
1000000000000,999999999707,999999999743,999999999767,999999999787,4,80,44,False,4,0,4,wheel_closed_residue:14
1000000000000,999999999707,999999999743,999999999767,999999999793,5,86,50,False,5,0,5,wheel_closed_residue:20
1000000000000,999999999707,999999999743,999999999767,999999999809,6,102,66,False,6,0,6,wheel_closed_residue:6
1000000000000,999999999707,999999999743,999999999767,999999999811,7,104,68,False,7,0,7,wheel_closed_residue:8
1000000000000,999999999707,999999999743,999999999767,999999999829,8,122,86,False,8,0,8,wheel_closed_residue:26
1000000000000,999999999617,999999999641,999999999673,999999999667,1,50,26,False,1,0,1,wheel_closed_residue:26
1000000000000,999999999617,999999999641,999999999673,999999999671,2,54,30,False,2,0,2,wheel_closed_residue:0
1000000000000,999999999617,999999999641,999999999673,999999999673,3,56,32,True,3,0,3,wheel_closed_residue:2
1000000000000,999999999617,999999999641,999999999673,999999999697,4,80,56,False,4,0,4,wheel_closed_residue:26
1000000000000,999999999617,999999999641,999999999673,999999999707,5,90,66,False,5,0,5,wheel_closed_residue:6
1000000000000,999999999617,999999999641,999999999673,999999999743,6,126,102,False,6,0,6,wheel_closed_residue:12
1000000000000,999999999577,999999999587,999999999589,999999999589,1,12,2,True,1,0,1,wheel_closed_residue:2
1000000000000,999999999577,999999999587,999999999589,999999999599,2,22,12,False,2,0,2,wheel_closed_residue:12
1000000000000,999999999577,999999999587,999999999589,999999999611,3,34,24,False,3,0,3,wheel_closed_residue:24
1000000000000,999999999577,999999999587,999999999589,999999999617,4,40,30,False,4,0,4,wheel_closed_residue:0
1000000000000,999999999577,999999999587,999999999589,999999999641,5,64,54,False,5,0,5,wheel_closed_residue:24
1000000000000,999999999577,999999999587,999999999589,999999999667,6,90,80,False,6,0,6,wheel_closed_residue:20
1000000000000,999999999577,999999999587,999999999589,999999999671,7,94,84,False,7,0,7,wheel_closed_residue:24
1000000000000,999999999577,999999999587,999999999589,999999999673,8,96,86,False,8,0,8,wheel_closed_residue:26
1000000000000,999999999577,999999999587,999999999589,999999999697,9,120,110,False,9,0,9,wheel_closed_residue:20
1000000000000,999999999529,999999999541,999999999571,999999999547,1,18,6,False,1,0,1,wheel_closed_residue:6
1000000000000,999999999529,999999999541,999999999571,999999999571,2,42,30,True,2,0,2,wheel_closed_residue:0
1000000000000,999999999529,999999999541,999999999571,999999999577,3,48,36,False,3,0,3,wheel_closed_residue:6
1000000000000,999999999529,999999999541,999999999571,999999999587,4,58,46,False,4,0,4,wheel_closed_residue:16
1000000000000,999999999529,999999999541,999999999571,999999999589,5,60,48,False,5,0,5,wheel_closed_residue:18
1000000000000,999999999529,999999999541,999999999571,999999999599,6,70,58,False,6,0,6,wheel_closed_residue:28
1000000000000,999999999529,999999999541,999999999571,999999999611,7,82,70,False,7,0,7,wheel_closed_residue:10
1000000000000,999999999529,999999999541,999999999571,999999999617,8,88,76,False,8,0,8,wheel_closed_residue:16
1000000000000,999999999529,999999999541,999999999571,999999999641,9,112,100,False,9,0,9,wheel_closed_residue:10
1000000000000,999999999391,999999999419,999999999457,999999999457,1,66,38,True,1,0,1,wheel_closed_residue:8
